text,rating
"Beautiful film, but so preachyLoveofLegacy21 July 2023Margot does the best with what she's given, but this film was very disappointing to me. It was marketed as a fun, quirky satire with homages to other movies. It started that way, but ended with over-dramatized speeches and an ending that clearly tried to make the audience feel something, but left everyone just feeling confused. And before you say I'm a crotchety old man, I'm a woman in my 20s, so I'm pretty sure I'm this movie's target audience. The saddest part is there were parents with their kids in the theater that were victims of the poor marketing, because this is not a kid's movie. Overall, the humor was fun on occasion and the film is beautiful to look at, but the whole concept falls apart in the second half of the film and becomes a pity party for the ""strong"" woman.1,190 out of 1,646 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"Clever and fun beginning turns into another lecture in the patriarchyBinkconn21 July 2023Barbie begins in an irresistible way, as a fun dismantling of all the plasticized and body image ideals the doll has set for little girls throughout the decades, as Barbie faces an existential crisis and must journey into the real world to find her true self. Then about halfway through America Ferrera shows up as a dissatisfied Barbie designer and starts hammering us about the patriarchy, as if all men were clueless, macho oafs like Ken that needed to be smugly tolerated by the greater hierarchy of women. Gerwig seems to be projecting her issues about Hollywood and it makes Barbie out of touch.804 out of 1,173 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
It was depressingcoxaneesa24 July 2023Warning: Spoilers152 out of 242 found this helpful. Was this review helpful? Sign in to vote.Permalink,8
"A Technicolor Dreamheatherhilgers24 July 2023Wow, this movie was a love letter to cinema. From the Kubrick reference at the opening, to the soundstage being 100% real - no cgi for the sets. There were dance sequences like in the olden days (think Grease) and the costuming , wow the costuming. Greta Gerwig dug deep to make this masterpiece using all of her technical chops along the way. The casting director also nailed it, everyone was wonderful.The acting was perfection, I loved seeing the variety of Barbie's on screen and there were so many jokes that would be appropriate for all audiences, this has to be a voluntary PG13 rating as there wasn't swearing or nudity. There was one beach fight amongst the Kens but that's not really violence compared to today's average films, no one was harmed nor any fake blood used.I actually didn't like the ending at all, and I was quite annoyed that Rhea Perlman played the creator of Barbie but made two quips about the IRS getting her for tax evasion - something Ruth Handler never dealt with. Her problem was with the SEC after she had signed off on a positive Mattel earnings forecast when they knew they were in a down quarter - how's that so tough to explain?Irregardless, I want to see this movie again. And again. And again.20 out of 26 found this helpful. Was this review helpful? Sign in to vote.Permalink",9
 reasons FOR seeing it and 1 reason AGAINST.imseeg22 July 2023Warning: Spoilers301 out of 477 found this helpful. Was this review helpful? Sign in to vote.Permalink,7
"Barbie Is A Weirdly Fun Movie!HabibieHakim12319 July 20238.5 While i'm not so sure at first, the movie kept getting even more fun, entertaining, and definitely better, also surprisingly deal with a legit serious stuff, Barbie is a weirdly fun movie that fills with this very interesting concept, definitely the first time that's ever done, Greta Gerwig has created this whole new style of filmmaking specifically for Barbie, from the intentionally weird yet creative editing, some awkward and cringe scene, i found the comedy so funny instead of cringe, Barbie is one of the most original movie of the year and also one of the most original movie i've seen in a while, we all know Margot Robbie and Ryan Gosling is gonna carry the movie and they are, but Will Ferrell, Simu Liu, and the whole rest of the cast were also great and entertaining, the soundtrack was just great, except Nicki Minaj and Ice Spice ""Barbie World"" song that are just absolutely terrible, but Billie Eilish ""What Was I Made For?"" tune that kept haunting in the background until it finally get the perfect scene to played it was really the best thing because that song was just beautiful and emotional, anyway, Barbie is a lot of fun, while there is still some noticeable flawed, most of them i found it funny, entertaining, colourful, creative, and fun, pure fun, it's something that i probably will love it even more the second time i see it, but as of right now, Barbie was a good time, definitely recommended and with this movie somehow it's actually possible to have a live-action Barbie movie, all you need to have is a good writer, good director, and good cast, and they delivers mostly.535 out of 1,231 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
Too heavy handedNatcat8722 July 2023Warning: Spoilers300 out of 404 found this helpful. Was this review helpful? Sign in to vote.Permalink,6
"Fun and surprisingly touchingjpismyname19 July 2023I was honestly doubting this movie at first, but surprisingly I find myself really liking it quite a lot.Set in the colorful Barbie Land, stereotypical Barbie lives a perfect life every single day. One day, she shows signs of being...a human. She decides to go to the Real World to find the cure in order to make herself perfect again.Barbie is a fun movie that has surprisingly plenty of heartwarming moments and good messages to offer. The set designs are eye-catching and on point as well. Both Margot Robbie and Ryan Gosling nailed their parts, but it is Gosling who mostly shines.Something I'm pretty sure of is this movie getting nominated for the Oscars, most likely for Best Production Design, Best Costume Design, and probably Best Song for Billie Eilish. That song is beautiful and it's stuck in my head right now.416 out of 965 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"High Highs, Low Lows.Lk199024 July 2023The first thing you need to know about Barbie is that Ryan Gosling is the best part of the entire film. For the duration he is over the top, dumb and hilarious. Every scene he was in had me laughing and I enjoyed just about everything he did in the film.Margot Robbie is a great choice for Barbie and as usual puts in a fantastic performance. She hit pretty much every mark in my opinion and I can't see anyone taking her place in this role.Where the film falls flat unfortunately is not the characters, actors or even humour for that matter. It's the incessant political lecturing.It's no surprise that this film takes a strong feminist angle. That's to expected. Barbie was a doll that portrayed many different professions in an attempt to show young girls that they could strive for me than what they were told they could do. But that was the 1950s. This is 2023.By no means is the world a perfect representation of equality today, but it is so vastly superior in that category than it ever has been that the theme of the film falls a little flat. Telling young girls to go after their dreams and not be beholden to any stereotypes is a positive, wonderful message and one that could've been portrayed so much better. But instead, the film teeters on the edge of a radical feminist position.I've seen a lot of people say the film hates men. I disagree with this. I don't think it hates men. Instead, it takes a very simplistic, black and white view of Western culture and assumes that women's lives are overall difficult and men's lives are overall quite easy. When in reality, life is tough. For everyone. At least 99% of us. Claiming otherwise is unjust.However, it's not just the political stance it takes that brings the film down. It's how incessant it is. They are without any shame pushing a political message through the screen down your throat every 10 minutes. It's unbearable at times. Going to the cinema or watching a film should be an enjoyable experience, not a lecture.This film could've been beloved by all genders and ages. Both men and women love Margot Robbie and Ryan Gosling. This feels like an easy lay up for the filmmakers but by going the political route they end up having many jokes go over kids heads and alienate many of the people who where genuinely excited to see this film.I give it a 6 because of Gosling and most of the humour. It was enjoyable overall. I think Hollywood needs to stop employing multi millionaire actors to lecture the general public on how to live. It's embarrassing.236 out of 339 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"Well this really did come as a surprise.Sleepin_Dragon21 July 2023It pains me to say it, but I enjoyed this movie so much more then I was expecting to, musical numbers, humour, there truly is something for the whole family yo enjoy.Bright, garish and somewhat kitsch, those were my expectations, and sure it's a veritable cornucopia of glitter and rainbows, but what I wasn't expecting, was for the film to be so engaging, there's actually some real depth that I wasn't expecting. That opening introduction, that came as a major surprise, and pretty much set the tone.Of course there are plenty of double entendres, laughs that adults will enjoy, kids will no doubt chuckle away too.I'm pretty sure this film is going to win awards for its production, it's very well made, creative design and visuals, a lot of thought has gone into this. Greta Gerwig did a great job.Margot Robbie is glorious as Barbie, Ryan Gosling was great I thought. The pair shared some terrific scenes, real chemistry, and plenty of cutting one liners.Great use of music, everything fitted into the film so well.8.140 out of 324 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
My mom and I saw this yesterday. Here are my thoughts.G-Joshua-Benjamin21 July 2023Warning: Spoilers245 out of 368 found this helpful. Was this review helpful? Sign in to vote.Permalink,6
"The marketing was more entertaining than the actual movieMissSimonetta20 July 2023Warning: Spoilers740 out of 1,018 found this helpful. Was this review helpful? Sign in to vote.Permalink",4
"Ken out of tenfinnconnelly-6301722 July 2023Wow. I did not see this masterpiece coming. And that's not a joke. Somehow, Greta Gerwig took Barbie, and made a movie that tackles some really tough social issues....well? It's crazy. But wow, does it work. The story is very mature, thinker of a plot. Once you're done laughing your butt off, you'll get really emotional. The production design is so on point. The whole movie is pink everything, but it's never polarizing. All the shades melt together in a very pleasing way. And of course the cast! Margot Robbie was born to play Barbie, and she hits a home run, but Ryan Gosling. This dude rocks as Ken. He knocked it all the way around the world and hit himself in the back of the head. He steals every scene he's in, and I would be so on board with a Ken spin-off. America Ferrara and Simu Liu are also great in their respective roles, but the cast overall is just perfect. Overall, Barbie is probably the best movie based off a toy (sorry LEGO Movies) and an overall fantastic time at the movies.364 out of 768 found this helpful. Was this review helpful? Sign in to vote.Permalink",1
"""Barbie"" - A Multifaceted Exploration of Femininity, Consumerism, and Existentialismandypaps10119 July 2023I got free tickets for a preview and to be honest I was more than a little embarrassed to go. I did not tell a soul. As a cool middle aged gentleman if word got out this could have really affected my street cred.Anyway, I embraced the journey and I'm glad that I did. Here is my review written as a pretentious critic that I aspire to be in my next life:In Greta Gerwig's latest directorial venture, ""Barbie,"" the esteemed filmmaker takes on the monumental task of unravelling the enigma that is Barbie, the iconic doll that has fascinated and polarized society for decades.With Margot Robbie as the eponymous character and Ryan Gosling as Ken, Gerwig's live-action rendition delves into the complex world of Barbie, attempting to extract deeper meaning from this cultural phenomenon.Gerwig masterfully navigates the treacherous waters of branded material, infusing the narrative with a blend of adventure, comedy, fantasy, and romance. The result is a thought-provoking exploration of Barbie's role as a feminist symbol, challenging societal perceptions of femininity and girlhood.Can a doll with impossibly perfect features and a smile of perpetual happiness truly embody feminist ideals?Gerwig compels the audience to contemplate this question, weaving it throughout the fabric of the film.In reality Margot Robbie dominated the film as expected and has developed into a true cinematic icon. The flm was fun and far above my expectations hence I'm giving it an 8 and boasting I watched Barbie.472 out of 1,096 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"It could have been so much better...hamsterination19 July 2023The film's universe and settings are fantastic. The casting is really good too, with Gosling excelling in the role of Ken.Regrettably, however, the film completely misses the chance to appeal to people who grew up with Barbie. Instead, we're left with a film that almost divides and pits men against women, in an attempt to make it a feminist and political film.Instead of seeing a light, fun film, I saw a rather heavy-handed movie whose storyline is centered around patriarchy.It's a real shame, because the film's potential is pretty amazing. I came away disappointed, but not totally disgusted either.455 out of 729 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"not for everyoneanjamulder19 July 2023This is very much a movie that will get devided opinions on it, my cousin said well this is two hours of my life i will never get back, and me? I left the theatre in such a good mood. It was the sense of humor for me, laughed so hard. Specially Ryan Gossling was sooooo good and funny, many familiar faces to spot also. And margot robbie come on... the perfect casting for Barbie. I also have to say, the way they created Barbie land was so amazing, it just makes you just want to there. I don't really have anything bad to say about this movie. I can understand not everyone will love it. But i am sure it is a iconic film already.274 out of 611 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"Brilliant observations, but social depth is missingportraitofaladyonfire20 July 2023Warning: Spoilers113 out of 190 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"Honestly - not funny and light enoughimdbmovieguy21 July 2023I really enjoyed the first 20 minutes of the movie. It was very upbeat, positive and light. However, things soon became negative about 20 - 25 minutes into the movie. I couldn't stand it. Barbie's world and attitude was a constant bummer. Ken's attitude was sour. For the next hour (and more) the movie just lived in negativity.I bought tickets to this show a month ago. And, I saw it the day before the official opening day. I was very excited about this movie. And, I was playing the music (Dua Lipa) song almost every day. I was really excited for this movie - and was looking forward to something very positive. But, the vast majority of the movie was the ""conflict"" part of the writing. It was just too much! The movie didn't need to go that way, that far, that fast. I would have preferred a more shallow and fun Barbie movie vs. This Barbie movie filled with over an hour of conflict.358 out of 799 found this helpful. Was this review helpful? Sign in to vote.Permalink",H
"You are KenoughGenti2520 July 2023This movie is so much fun. It starts off really strong although the story does move away from ""Barbieland"" sooner than I would have liked. Nonetheless, it regains its footing with the final act in particular and I could not stop laughing at Ryan Gosling's portrayal of Ken. That song will forever be stuck in my head.There are also plenty of good messages to be taken away from this experience, that is if you're not an insecure middle-aged male terrified of women. I loved everything the movie had to say about the patriarchy and barbies and growing up and consumerism and so much more.I am excited to watch it again soon. The pacing is not perfect and its huge potential is not fully matched, but purely as a cinematic experience I will never forget this movie.164 out of 451 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"Amazing Cast & Set, but the political message was too strongfscsgxp20 July 2023Warning: Spoilers828 out of 1,113 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
Wildly Pinkfaeez_rizwan19 July 2023Warning: Spoilers213 out of 576 found this helpful. Was this review helpful? Sign in to vote.Permalink,9
"Could Have Been Great. 2nd Half Brings It Down.Revuer22323 July 2023The quality, the humor, and the writing of the movie is fun for a while. It's quirky and it's unique. When they get into the weeds and try to explore deeper themes, the movie is a miss. The middle expositional phase of the movie, I must say, is a bore.The movie was so close to being great, but it was incapable of delivering a message without having a character literally give a speech worth of dialogue.What could have been a great satire and what began as a cleverly funny movie turned into a preachy and moralizing movie in the end. But I guess the charm of the first half of the movie made up for the shortcomings.47 out of 75 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
Somewhat of a Jumbled Messherrcarter-9216123 July 2023Warning: Spoilers159 out of 200 found this helpful. Was this review helpful? Sign in to vote.Permalink,5
"The best version of itselfmasonsaul21 July 2023Barbie is everything expected of it and so much more, a self aware and meta comedy made for fans and newcomers alike that's also incredibly profound, layered and really funny. It's the best version of itself and just immensely satisfying that the Barbie movie that got made on this scale is so weird and unique.Margot Robbie is perfect casting as Barbie, she nails the movement and switches between the eccentric Barbie Land and more emotionally tolling real world effortlessly. She has a terrific arc that's full of emotionally resonant moments and the almost parental nature with Gosling works beautifully.Ryan Gosling is phenomenal as Ken. Note perfect casting that gives him another welcome chance to move away from his usual introverted roles and tap into his impeccable comedic timing present in The Nice Guys, only here it's dialed up to eleven. It all culminates in a musical number that is painfully funny.Will Ferrell is essentially playing Lord Business again and him and his whole team of execs are just as cartoonish as the people in Barbie Land but it actually really works as a nice bit of satire that emphasises just how out of touch all of them are.America Ferrara gets one of the biggest speeches of the film and really makes it work and her relationship with Ariana Greenblatt adds a lot of heart to the film whilst allowing it to have its both ways when it comes to acknowledging the history of Barbie.Greta Gerwig's direction is excellent, getting the bigger budget she absolutely deserves and uses every penny. Magnificent dance numbers, a fun car chase and a Barbie Land that is as vibrant as possible and despite fully embracing its own artificial nature it feels more real and visually stunning than so much of what's out there.The soundtrack is another standout element, a great selection of songs from some of the best artists currently working all at the top of their game. Like the film, some are just really fun, some are very profound and every single one fits in effortlessly.131 out of 415 found this helpful. Was this review helpful? Sign in to vote.Permalink",1
"Creative but preachy and confusingImshortok0623 July 2023I'm just going to get straight to the point: I liked some aspects of this movie and disliked other parts. Cinematography: awesome. Choreographed musical numbers: hilarious. Comedy: good. Margot Robbie: great. Ryan Gosling: awesome, and arguably the best part of the movie. The scenery and props really did help create the world. The storyline started off very intriguing. However, when the movie got to the meat of the plot and the central conflict, its message became confusing. It's like they wanted to make Ken the bad guy yet also sympathetic, which is not impossible or unheard of, but the way the writers did this was ineffective. Also, the resolution didn't make sense based on the message and events that led up to it. Lastly, I really hate it when movies try to empower women by dumbing down the men. I get that in a Barbie world, Ken is an afterthought, but in the real world all men were also dumb. They also treated masculine qualities as ""evil."" I hate stereotyping people, men included, and it's like all men ride horses and have fragile egos and drink ""brewskies."" And for goodness sake, if I had a dollar for every time the movie said ""patriarchy"", I'd be rich. So, overall, I give this movie a 6.1,007 out of 1,363 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"I am Kenougheoinageary23 July 2023So I went into the movie with little to no expectations and I was pleasantly impressed with the movie overall.So basically the movie is about Barbie who is starting to feel emotions and not everything feels perfect in Barbieland. She ventures to the real world to discover the solution of getting everything perfect again. Barbie is joined by the one and not only KEN, Ken is obsessed with Barbie and sees her as the centre of his world, he goes to the real world and discovers patriarchy, which leads to many events.The movie overall is actually quite funny, Ryan Gosling is fantastic as Ken and the stand out for me, he needs to be many versions of Ken and he kills then all !! Margott is also great, she brings a range to Barbie, for me also Weird Barbie was great, she was funny and brought a difference.There were times I felt the ""woman power"" thing was just a bit much and took me out of the movie, I feel like the movie had that message and didn't need to shove it down your throat but it decided to at points so for me that does bring it down a notch, the daughter was also just annoying hahaha yes I get it she hated the world bla bla, she just had no redeeming qualities, otherwise no complains and I do think it's worth seeing, solid 8.53 out of 139 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
Didn't hit my pink spottm-sheehan19 July 2023Warning: Spoilers120 out of 236 found this helpful. Was this review helpful? Sign in to vote.Permalink,6
"It's like G.I Joe...For girls! Seriously, and I love it for that!subxerogravity23 July 2023I mean, Margo Robbie as Barbie just made perfect sense, but I really wanted to see the movie when I herd that Ryian Gosling was going to be Ken, I just thought that would be hilarious and I was right!I was a little bit nervous when I heard this was not going to be an in-universe thing and that Barbie would enter the real world, but that was a great story.The real-life story did give the art direction the purpose of making a ""BarbieLand"" with life size dream houses even I wanted to live in. The film just looks really good.Give praise to director Greta Gerwig because this movie is fun but there were a lot of deep life cuts and the balance between the two was perfect.It was good hands down.19 out of 59 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"No Directionandermic1821 July 2023The movie was very funny and really enjoyable to laugh at with the full theatre. However, the messages of the movie were the problem. I was never really sure what I was supposed to take away, there was nothing about finding equality or love it was all about how every man cat falls every woman or women can't be anything. It was really silly because there was no accurate reflection of America at any single point except for Barbie getting called a Fascist for no reason by a 14 year old. I enjoyed how they called out women for hating women and how they really tried to preach empowerment and the ability to be anything, but at the same time there was so much resentment and they ended the movie by reinstating hate. The majority of the movie was hating men as much as possible. That's just whatever because what really matters is the story. Well it fell short on that mark and it was really disappointing. The pacing was horrible, the villain won and was pretty irrelevant in the long run, the story was all over the place, and it is totally not for kids. I think the worst part is how disappointed I was at the opportunity to really make something special and it just wasn't. 6 points for all the laughs and fun I had and I would expect 6-7 to be an appropriate rating.106 out of 178 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
